team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year,barthag_z,adj_o_z,adj_d_z,adj_t_z,wab_z
Boston College,ACC,7,0.801838,112.593,99.7062,66.9505,0.5240552674175,2009,-1.716824516045059,-0.047602086301929594,1.5381233161109764,0.15375760149855097,-1.8162171835950411
Siena,MAAC,9,0.792913,109.378,97.326,71.6868,0.073928440524743,2009,-1.7685875837689011,-0.4656431414640293,0.8763677492748562,1.7967230506898972,-1.2846996985006152
Cleveland St.,Horz,13,0.784047,103.603,92.6141,64.9859,-1.3869736882399,2009,0.8494538231912825,-0.89877699895692,-1.5375749870448574,-0.7358285538168774,0.12950293886425165
Dayton,A10,11,0.766568,101.774,91.7772,65.9567,1.1009892236325,2009,-1.316536988622564,-2.273469443074855,-1.2744117249746125,-0.35753635071458206,0.4858211286985714
North Dakota St.,Sum,14,0.764051,112.556,101.623,69.1014,-0.79591557811656,2009,1.276076881886351,1.4544489527256312,0.42018786548724113,0.32114136729449355,0.9727704880936995
Northern Iowa,MVC,12,0.743797,108.5,98.8967,62.2256,-1.7448289127269,2009,-0.7751294258788602,-0.24653298599189058,0.5151945096920238,-1.3187972342457461,-1.5118664703002958
Western Kentucky,SB,12,0.704048,109.081,101.162,66.7723,-2.1372598479597,2009,-1.3932837874254842,-0.08582257503972493,1.1152373111016038,0.12554714634873532,-1.7833749860874537
Akron,MAC,13,0.699473,101.854,94.6397,65.7849,-5.3629462644815,2009,-0.279628593505971,-1.3467625020983536,-0.9998962941527241,-0.48371054343801206,-2.1725007630509316
Stephen F. Austin,Slnd,14,0.667592,94.202,88.6597,63.4767,-2.5426873689965,2009,0.06337311375408548,-2.908369972570308,-3.2601156571083356,-1.3340085616845512,0.08440832551597796
Cal St. Northridge,BW,15,0.653874,101.462,96.0021,72.8952,-6.735607890936,2009,1.068778351829428,-0.7102772066259421,-1.6769413255339964,1.8427365974858099,-1.3594409784440802
Cornell,Ivy,14,0.638076,106.306,101.192,66.9211,-4.7939726999247,2009,-0.30770853150651134,-0.03120094828230271,0.29782621234037765,-0.320443675490547,-1.0605361461115346
East Tennessee St.,ASun,16,0.622114,103.782,99.3788,71.4666,-5.8981182777878,2009,1.8453945088758732,0.6704282147721079,-1.0402845535214027,1.3586422421983466,0.7027375879559429
American,Pat,14,0.613875,103.161,99.0844,61.8352,-2.31532767661,2009,-0.6119688275138199,-0.7787799784694942,-0.3005251105652406,-1.817043853952424,0.20003748157747467
Portland St.,BSky,13,0.582472,107.074,104.019,66.4354,-3.9445822832696,2009,-1.841618943211499,-0.009721720852905458,1.4897609749246647,-0.2784505112084057,-1.3512981333035807
Robert Morris,NEC,15,0.551924,100.874,99.0619,67.1281,-5.1421168717488,2009,-0.1735790859798188,-0.8704271390393752,-0.7625867212379452,-0.0765840129597821,-0.3566847898434336
Morgan St.,MEAC,15,0.497829,97.9308,98.0048,66.4758,-5.7717363835235,2009,-0.8327779638443716,-1.6720483653645593,-1.0784780383832977,-0.2936728156844884,-0.7528933999288774
Morehead St.,OVC,16,0.481621,99.9991,100.641,66.5698,-9.3342426652477,2009,0.6219726040161445,-0.1373669211241343,-0.7622693052973161,-0.4016047894144197,-0.5077208053411291
Binghamton,AE,15,0.473152,100.568,101.513,68.3902,-4.508924875067,2009,-1.133490612130971,-0.953770471213711,-0.03012885778606452,0.34344937339442744,0.04177192287085626
Radford,BSth,16,0.446346,99.0263,100.899,70.0517,-6.5741753843473,2009,0.3147956792303762,-0.3450972624495351,-0.705441596501711,0.8500297758879176,0.46458002824430983
Alabama St.,SWAC,16,0.401702,97.854,101.303,65.3019,-5.0869804663818,2009,-0.07396708845596954,-0.5954285526795625,-0.6164555718760342,-0.857375335767512,0.9884806115555121
Chattanooga,SC,16,0.366462,102.017,106.99,71.2188,-9.4471405933652,2009,-0.38083923103429623,0.29353260165601475,0.6361769084364131,1.2695658628416975,-0.5474918465683936
Duke,ACC,1,0.975221,120.782,87.7617,66.2747,8.4331148209138,2010,1.0868029082021584,0.3643269350397036,-0.8670650305050102,-0.4376761557490785,-0.5716545691359379
Kansas,B12,1,0.966376,119.998,89.6083,68.5088,11.719504280154,2010,0.5072413795666647,0.15842623311179488,-0.2465423409788555,0.14840287395349958,1.4892712424987575
Syracuse,BE,1,0.955454,117.545,90.039,70.9964,7.5427321767028,2010,-0.208413907686796,-0.4858013457519371,-0.10181195953245858,0.8009834183732367,-1.130021919215697
Kentucky,SEC,1,0.955274,114.491,87.7321,69.5865,8.610731484921,2010,-0.22020826327237303,-1.287868620863978,-0.8770116738549374,0.4311195698536263,-0.4602694846932937
Ohio St.,B10,2,0.945412,117.033,91.3296,66.0388,5.6564293505,2010,0.3559532019972493,-0.10291978265479552,-0.2331331936254565,-0.435205618126578,-1.643285318451937
Kansas St.,B12,2,0.945052,115.931,90.5241,70.4542,6.7670487840271,2010,0.3321344769723382,-0.3801453511208067,-0.45052955369603886,0.920326526226988,-0.725016002213638
West Virginia,BE,2,0.942949,116.623,91.38,63.5682,8.0318585279616,2010,0.1929934249518287,-0.2060617818118402,-0.21953073981098525,-1.1936822489731407,0.3207391355708571
Baylor,B12,3,0.941129,119.423,93.8454,65.5991,5.5937214858521,2010,0.8557859335340454,0.9297619051350451,0.22009913414939877,-0.6179352465730261,-0.33738348678484464
Wisconsin,B10,4,0.93943,115.076,90.6681,60.3513,3.8652554950392,2010,0.8474400824700435,0.13674609382856445,-0.6018755195522064,-1.8151219968465198,-0.8176977072318652
Purdue,B10,4,0.931849,108.292,86.2628,67.4966,6.5702791671692,2010,0.613553931542869,-1.4563940410383376,-1.7996827938695223,0.11377590205603115,1.284783927997383
BYU,MWC,7,0.928755,116.555,93.231,71.7915,4.0018140401196,2010,1.4562951958699264,1.0093723164343749,-0.6462129816361413,1.9975081869546392,1.1024623142816938
Texas A&M,B12,5,0.922469,111.303,89.7399,66.0842,4.3870491107056,2010,0.7155109671539388,-0.4441996705148059,-0.8640110000113809,-0.2019223909881299,0.2506777419014373
California,P10,8,0.921019,119.424,96.4563,68.3393,1.7005987354233,2010,1.644625742349208,1.8957063679091302,0.46874551934919206,0.27905800806243997,-0.3458778148305763
Butler,Horz,5,0.916302,108.659,88.2449,64.3725,4.5347817456351,2010,0.4744961158517904,-1.0263715906627555,-1.268833799842462,-0.7974914399672512,0.38694103991990475
Maryland,ACC,4,0.91616,117.297,95.2756,70.2843,3.3255421628655,2010,0.12952282457855266,0.6583210112134995,0.6509102195386702,0.8663249444714152,-1.2371902909289492
