team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
Troy,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Cal Poly,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Loyola MD,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Cal St. Northridge,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Northern Colorado,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Detroit Mercy,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.2,0,2008,2023
Northwestern St.,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Southern,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Binghamton,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Austin Peay,-0.1,-0.1,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
James Madison,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Hampton,-0.1,-0,0,3,0,3,0,0,0,0,0,0,0,0,0,2008,2023
Milwaukee,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Buffalo,-0.1,0,2,4,0.333,4,2,0,0,0,0,0,0,1.9,0.1,2008,2023
Penn,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Texas Southern,-0.1,-0.2,0,5,0,5,0,0,0,0,0,0,0,0,0,2008,2023
Mount St. Mary's,-0.1,-0,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Wright St.,-0.2,-0.2,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Notre Dame,-0.2,-1,10,9,0.526,9,6,2,2,0,0,0,1,38,6.5,2008,2023
Northern Kentucky,-0.2,-0.3,0,3,0,3,0,0,0,0,0,0,0,0,0,2008,2023
Wyoming,-0.2,-0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Robert Morris,-0.2,-0.2,0,3,0,3,0,0,0,0,0,0,0,0,0,2008,2023
Cal St. Bakersfield,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.4,0,2008,2023
Sam Houston St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.2,0,2008,2023
Green Bay,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.2,0,2008,2023
George Mason,-0.2,-0.2,1,2,0.333,2,1,0,0,0,0,0,0,2.4,0.3,2008,2023
Indiana St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.1,0,2008,2023
Pacific,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.1,0,2008,2023
Morgan St.,-0.2,-0.2,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Eastern Kentucky,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.1,0,2008,2023
Manhattan,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.4,0,2008,2023
Stony Brook,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.2,0,2008,2023
Western Michigan,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.1,0,2008,2023
Jacksonville St.,-0.2,-0.2,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Kennesaw St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.1,0,2008,2023
Saint Louis,-0.2,-0.6,3,4,0.429,4,3,0,0,0,0,0,0,11,1.7,2008,2023
Northeastern,-0.3,-0.4,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Tulsa,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.3,0,2008,2023
North Carolina Central,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.3,0,2008,2023
LIU,-0.3,-0.1,0,2,0,2,0,0,0,0,0,0,0,0.1,0,2008,2023
Portland St.,-0.3,-0.3,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Weber St.,-0.3,-0.1,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Delaware,-0.3,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.1,0,2008,2023
Grand Canyon,-0.3,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.1,0,2008,2023
Cal St. Fullerton,-0.3,-0.4,0,3,0,3,0,0,0,0,0,0,0,0.1,0,2008,2023
UNC Asheville,-0.3,-0.2,0,4,0,4,0,0,0,0,0,0,0,0.1,0,2008,2023
Montana St.,-0.4,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.2,0,2008,2023
East Tennessee St.,-0.4,-0.3,0,3,0,3,0,0,0,0,0,0,0,0.3,0,2008,2023
UNC Greensboro,-0.4,-0.5,0,2,0,2,0,0,0,0,0,0,0,0.2,0,2008,2023
Louisiana,-0.4,-0.4,0,2,0,2,0,0,0,0,0,0,0,0.3,0,2008,2023
Albany,-0.4,-0.3,0,3,0,3,0,0,0,0,0,0,0,0,0,2008,2023
South Alabama,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.3,0,2008,2023
Massachusetts,-0.4,-1.1,0,1,0,1,0,0,0,0,0,0,0,0.5,0,2008,2023
Fresno St.,-0.4,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.2,0,2008,2023
Southern Miss,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.3,0,2008,2023
Boston College,-0.4,-0.9,0,1,0,1,0,0,0,0,0,0,0,0.4,0,2008,2023
Penn St.,-0.4,-0.2,1,2,0.333,2,1,0,0,0,0,0,0,3.8,0.3,2008,2023
Georgia Tech,-0.4,-0.2,1,2,0.333,2,1,0,0,0,0,0,0,4.9,0.5,2008,2023
