Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
80,LSU,SEC,32,14-18,108.7,99.8,0.7269,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,43.5,35.8,68.4,-3.9
,,,,,129,61,80,149,59,276,217,196,345,191,88,41,68,333,83,77,80,127,88
81,High Point,BSth,35,29-6,117.7,108.2,0.7258,56.3,49.1,15.3,16.4,33.6,30.6,37.2,36.3,57.3,48.9,36.6,32.9,39.4,35.6,66.6,-1.7
,"   13 seed, R64",,,,30,210,81,12,90,47,221,69,225,56,263,14,92,43,116,168,72,226,67
82,Colorado,B12,35,14-21,108.4,99.6,0.7251,50.4,49.9,21,16.2,29.2,28.3,35.8,34.4,51.8,49.1,32.1,34.1,37.3,39.4,67.9,-4.4
,,,,,134,56,82,194,120,352,241,204,101,89,219,142,101,264,194,215,198,151,99
83,Saint Joseph's,A10,35,22-13,109.7,100.9,0.723,51.6,46.9,16.4,16.2,30.3,27.9,31.7,25.9,52.8,45.3,33.5,33.4,46.5,32.9,68.3,-4.8
,,,,,112,72,83,130,21,131,241,168,75,209,26,111,9,190,149,36,23,130,108
84,Minnesota,B10,32,15-17,110.2,101.4,0.7218,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33,50.7,49.2,32.2,34.5,35.9,34.3,63,-3.9
,,,,,104,85,84,226,132,141,235,173,225,219,178,188,105,256,220,262,36,357,87
85,UC Irvine,BW,39,32-7,105.8,97.4,0.7218,51.7,45.8,18,17.2,27.9,26.5,36,22.4,50.7,42.8,35.6,33.9,35.3,37.3,69.2,0.12
,,,,,194,33,85,122,7,236,168,238,36,82,8,188,2,73,183,272,120,87,53
86,Bradley,MVC,37,28-9,111.8,103.1,0.7161,56.7,47.7,17.4,15.6,26.1,28,32.4,35,54.6,47.2,39.7,32.3,42.3,42.9,66,-1.6
,,,,,90,104,86,9,41,196,281,289,84,192,229,53,42,2,83,95,303,271,63
87,Oklahoma St.,B12,35,17-18,108,99.7,0.7154,48.6,53,19,20.3,31.1,29.6,41,36.4,48,53.1,33.1,35.3,34.7,42.6,71.8,-3.4
,,,,,136,59,87,282,277,294,32,142,165,23,266,290,268,206,270,285,298,13,85
88,Arkansas St.,SB,36,25-11,111,102.7,0.7097,49.6,46.1,14.7,17,33.7,30.3,33.1,37.1,50.6,46.4,32.2,30.3,44.6,35.1,70,-4.4
,,,,,95,96,88,245,11,30,182,63,210,171,285,196,22,256,16,58,54,57,100
89,Nevada,MWC,33,17-16,112.2,104.2,0.7013,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,37.5,44.7,64.1,-6.5
,,,,,82,118,89,59,203,59,84,253,36,53,298,39,115,159,288,210,334,337,134
90,Grand Canyon,WAC,34,26-8,107.9,100.2,0.7011,50.7,47.3,18.5,20.3,32.4,28.9,43.6,32.4,52.6,46.7,31.3,32.3,33.8,34.1,71.5,-2.5
,"   13 seed, R64",,,,141,63,90,174,28,271,32,100,130,8,163,113,26,298,83,307,30,18,72
91,Oregon St.,WCC,33,20-13,115.8,108,0.6921,54.5,51,16.7,16.4,32,27.7,38.7,31.8,54.7,50.1,36.1,34.8,35.8,41.1,64,-4.2
,,,,,51,204,91,47,179,151,221,111,67,35,148,50,139,59,236,263,262,342,96
92,UNLV,MWC,33,18-15,106.7,99.5,0.6915,49.7,49.3,16.2,17.8,27.3,29.8,35.8,32,49.6,50.5,33.3,31.9,34.6,43.4,66,-5.1
,,,,,167,55,92,238,99,110,122,256,181,89,155,241,153,197,70,292,313,268,112
93,Loyola Chicago,A10,37,25-12,108.9,101.8,0.6863,52.7,48.8,17.2,17.3,29.3,27.7,31.6,33.3,53.9,47.6,34,33.7,42.9,39.5,67.1,-4.7
,,,,,123,92,93,88,73,180,161,201,67,211,192,70,50,164,169,83,204,210,106
94,UAB,Amer,37,24-13,116.5,108.9,0.6831,50.2,51.2,13.8,15.2,37.7,30.3,31.3,28.5,49.8,50.4,34,35,29.3,34.7,69.5,-6.1
